prefix,thld_delta,tau_star_val,median_TTS_val,,,,,,,,,
uf100,8.00E-06,2514514,inf,,,,,,,,,
uf100,9.00E-06,3028003,inf,,,,,,,,,
uf100,1.00E-05,16216562,14898634360,,,,,,,,,
uf100,2.00E-05,1253670,inf,,,,,,,,,
uf100,3.00E-05,850029,inf,,,,,,,,,
uf100,5.00E-05,563939,inf,,,,,,,,,
uf100,7.00E-05,410058,inf,,,,,,,,,
uf100,8.00E-05,465567,inf,,,,,,,,,
uf100,9.00E-05,391165,inf,,,,,,,,,
uf100,0.0001,284626,inf,,,,,,,,,
uf100,0.0002,220992,inf,,,,,,,,,
uf100,0.0003,107970,inf,,,,,,,,,
uf100,0.0004,83506,inf,,,,,,,,,
uf20,0.0003,75575,82270.3336,,,,,,,,,
uf20,0.0004,67748,67748,,,,,,,,,
uf20,0.0005,60121,65447.23423,,,,,,,,,
uf20,0.0006,59248,62108.0814,,,,,,,,,
uf20,0.0007,49974,60735.31516,,,,,,,,,
uf20,0.0008,51198,51198,,,,,,,,,
uf20,0.0009,50194,66100.21921,,,,,,,,,
uf20,0.001,44292,53878.20025,,,,,,,,,
uf20,0.002,20573,59927.33553,,,,,,,,,
uf20,0.003,17692,58681.45549,,,,,,,,,
uf20,0.004,11039,61260.76875,,,,,,,,,
uf50,9.00E-05,1637805,13455417.48,,,,,,,,,
uf50,0.0001,1554711,15113058.38,,,,,,,,,
uf50,0.0002,954537,14332579.67,,,,,,20,50,75,100
uf50,0.0003,629094,12290243.74,,,,,,51198,11727773.58,5694740569,14898634360
uf50,0.0004,466744,11727773.58,,,,,,,,,
uf50,0.0005,304094,13291550.58,,,,,,,,,
uf50,0.0006,317296,14016181.45,,,,,,,,,
uf50,0.0007,265268,17504784.57,,,,,,,,,
uf50,0.0008,230687,17293043.8,,,,,,,,,
uf50,0.0009,157461,19058373.84,,,,,,,,,
uf75,9.00E-06,19581276,11978184618,,,,,,,,,
uf75,1.00E-05,18731434,8582941173,,,,,,,,,
uf75,2.00E-05,9309448,5694740569,,,,,,,,,
uf75,3.00E-05,976104,inf,,,,,,,,,
uf75,4.00E-05,541424,inf,,,,,,,,,
uf75,6.00E-05,462278,inf,,,,,,,,,
uf75,8.00E-05,388656,inf,,,,,,,,,
uf75,9.00E-05,293247,inf,,,,,,,,,
uf75,0.0001,199617,inf,,,,,,,,,
uf75,0.0002,227953,inf,,,,,,,,,
uf75,0.0003,132589,inf,,,,,,,,,
uf75,0.0004,124178,inf,,,,,,,,,
uf75,0.0005,87017,inf,,,,,,,,,
